Hugo_Symbol,Log2FC,T_Paired,P_Paired,T_Independent,P_Independent,Is_DEG_Paired,Is_DEG_Indep,Alignment_Category
HIST3H2A,2.4162201958153378,-6.493395990431009,4.0436066512253233e-08,-6.485549680803331,3.607140106656372e-09,True,True,Both (Concordant)
LIN7B,0.12459850758891289,-1.071566082677065,0.28916459675961126,-1.0124219351001198,0.3138294825100423,False,False,Neither
LXN,-0.8211326994504423,3.973482320516323,0.0002322367302316615,4.111953541468976,8.164043644485837e-05,True,True,Both (Concordant)
CNKSR2,-1.5680830275876847,9.159024392190302,3.420577429814983e-12,9.206806465378303,6.374651779974794e-15,True,True,Both (Concordant)
SCML1,-0.270496064829643,1.9060859671484154,0.06251345969931547,2.0092018878359537,0.04726589843891225,False,False,Neither
AC024592.12,0.3005606673772846,-1.7487982158432587,0.08658823731308364,-1.9004271329228393,0.060316150492081354,False,False,Neither
GSDMD,-0.4783968566833411,5.2703746829771,3.0417211551976194e-06,4.815519869045883,5.344288657720395e-06,False,False,Neither
AKR1C1,3.701705051719426,-4.730171725567042,1.938574686660843e-05,-4.719748649890638,7.857877107856758e-06,True,True,Both (Concordant)
C3orf62,-0.6497467128737535,8.396019782478298,4.7685593457208355e-11,6.673633794973965,1.5007152753534552e-09,True,True,Both (Concordant)
CRISPLD2,-1.1164985628734496,4.83121694963112,1.3766122667116936e-05,4.063896179691588,9.742753347580828e-05,True,True,Both (Concordant)
DOCK5,-0.42312292806407764,1.893873226974019,0.06415312266683632,2.0143255160542752,0.04671578879072957,False,False,Neither
SLC33A1,0.8555484848704715,-7.609699484673376,7.584453673521964e-10,-7.337561317643699,6.382057732213548e-11,True,True,Both (Concordant)
GLI1,0.9521444062262344,-2.378963018545726,0.021301798351319134,-2.293079946406912,0.023980398417391264,True,True,Both (Concordant)
STK17B,-0.9810118432759221,9.757950010920055,4.5118333201235695e-13,8.328562129488738,5.024134511809247e-13,True,True,Both (Concordant)
RP5-966M1.6,-1.4095629861091357,7.387690710249421,1.6678484321488424e-09,6.644088065747279,1.723355128050759e-09,True,True,Both (Concordant)
VPS52,0.032277546223668636,-0.5063694617529233,0.6148682201927615,-0.5122753956858407,0.6096108831192028,False,False,Neither
HAGHL,0.6532578194207587,-2.991416470665105,0.0043376191026288135,-2.6605809139090146,0.009115074132559447,True,True,Both (Concordant)
