Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,E2F Targets,6.766911e-01,2.249277e+00,0.000000e+00,0.000000e+00,0.000000e+00,137/195,25.91%,KIF18B;MYBL2;CDC20;MELK;TOP2A;BIRC5;CDCA8;DLGAP5;KIF4A;KIF2C;CDCA3;CCNB2;CDKN2A;AURKB;DEPDC1;BUB1B;CCNE1;GINS1;PLK1;MKI67;RRM2;ORC6;SPC25;TRIP13;UBE2T;CDKN3;SPC24;MAD2L1;MCM2;ESPL1;SPAG5;TK1;E2F8;RAD51AP1;ASF1B;AURKA;HMMR;CDC25A;GINS4;CENPE;CHEK1;CDK1;HELLS;PTTG1;EZH2;MCM4;HMGA1;UBE2S;PLK4;DSCC1;HMGB3;KPNA2;CENPM;RACGAP1;TIMELESS;ATAD2;PAICS;NCAPD2;RNASEH2A;CHEK2;BRCA1;MMS22L;GINS3;NME1;LMNB1;MCM6;TACC3;PCNA;CKS1B;STMN1;CKS2;MTHFD2;TCF19;MCM7;RANBP1;DONSON;MCM5;UNG;PRKDC;PRIM2;NOP56;SMC4;LIG1;CSE1L;BRCA2;CDK4;PSMC3IP;POLE;RFC3;MSH2;TUBG1;HMGB2;MCM3;DDX39A;CTPS1;SNRPB;TUBB;SUV39H1;SMC6;NUP205;TFRC;POLD2;BARD1;POLD1;POLA2;RFC2;TBRG4;TMPO;DIAPH3;RAN;TIPIN;ANP32E;POP7;XPO1;DCTPP1;SMC1A;SSRP1;PA2G4;PRDX4;RAD1;DEK;NUP107;NUDT21;NASP;RPA3;MXD3;SLBP;CDC25B;KIF22;TP53;ZW10;EIF2S1;WEE1;ILF3;PMS2;WDR90;PHF5A
prerank,G2-M Checkpoint,6.793727e-01,2.244558e+00,0.000000e+00,0.000000e+00,0.000000e+00,97/188,19.10%,HOXC10;TPX2;UBE2C;MYBL2;CENPA;CDC20;TROAP;TTK;TOP2A;NEK2;CENPF;CDC45;BIRC5;KIF4A;KIF2C;POLQ;CCNB2;CDC6;AURKB;EXO1;PBK;PLK1;RAD54L;NDC80;MKI67;CCNA2;ORC6;KIF11;PRC1;KIF23;GINS2;CDKN3;NUSAP1;MAD2L1;MCM2;ESPL1;BUB1;AURKA;KIF15;SLC7A5;HMMR;CDC25A;CENPE;CHEK1;STIL;CDK1;PTTG1;EZH2;E2F2;RBL1;HMGA1;CCNF;UBE2S;PLK4;HMGB3;KPNA2;UCK2;RACGAP1;TRAIP;CHAF1A;LMNB1;MCM6;TACC3;CKS1B;E2F1;DBF4;TFDP1;STMN1;INCENP;CKS2;DKC1;SMC2;E2F3;KIF20B;MCM5;CDC7;PRIM2;SLC7A1;SMC4;SNRPD1;ATF5;BRCA2;DTYMK;FBXO5;CDK4;POLE;SLC38A1;MCM3;DDX39A;SUV39H1;CUL4A;CBX1;BARD1;POLA2;ORC5;TMPO;ODC1
prerank,Inflammatory Response,-5.129432e-01,-2.241788e+00,0.000000e+00,0.000000e+00,0.000000e+00,91/197,20.64%,CSF3;MARCO;NMUR1;IL6;VIP;LAMP3;MSR1;KCNA3;SLC4A4;CALCRL;ICAM4;PROK2;FPR1;CSF3R;SGMS2;CCRL2;ROS1;EDN1;CD69;CCL24;OLR1;ICAM1;CCL17;SCARF1;SELE;IL18RAP;AQP9;CD55;IL7R;C5AR1;CYBB;HPN;SLC28A2;PTGIR;GP1BA;KLF6;NLRP3;MEFV;TLR3;CSF1;CCL2;LIF;PIK3R5;HBEGF;BTG2;FZD5;PTGER2;NFKBIA;LDLR;IL18R1;SLC31A2;APLNR;C3AR1;CMKLR1;CD48;P2RX7;IL10RA;IL1R1;TNFRSF1B;PTGER4;TLR2;SELL;EMP3;FFAR2;PTPRE;LCP2;IRF1;CX3CL1;BEST1;IL10;SLC7A2;PTAFR;GPR183;AXL;OSM;KCNMB2;TNFSF15;IL1B;RGS16;RNF144B;CCR7;IL15;PDE4B;CD14;CDKN1A;SLAMF1;HAS2;LYN;STAB1;GPR132;CXCR6
prerank,Interferon Gamma Response,-5.106105e-01,-2.232044e+00,0.000000e+00,0.000000e+00,0.000000e+00,118/198,30.75%,IL6;SELP;P2RY14;FPR1;CD69;ICAM1;ST3GAL5;BANK1;TXNIP;HLA-DMA;SOCS3;HLA-DRB1;IRF8;VAMP5;CD74;SERPING1;SAMHD1;EIF4E3;CCL2;GBP4;FGL2;SECTM1;IFI30;CIITA;OASL;NFKBIA;IFIT2;IFITM2;HLA-DQA1;FCGR1A;KLRK1;SAMD9L;CMKLR1;IL10RA;LATS2;IFIT3;B2M;LCP2;IRF1;GPR18;CD86;NOD1;BATF2;IFIT1;RSAD2;FAS;ST8SIA4;IL18BP;CMPK2;MVP;JAK2;PTGS2;PTPN6;ZNFX1;IL15;IL7;MT2A;HLA-B;MYD88;CSF2RB;RAPGEF6;PDE4B;CD274;IFI44L;STAT4;CASP1;TRIM21;XAF1;APOL6;IDO1;SP110;CDKN1A;TNFAIP3;LAP3;LYSMD2;PTPN1;GZMA;HLA-G;HERC6;VAMP8;DDX60;IL15RA;IFITM3;CFH;PARP14;IL2RB;IL4R;CD38;HLA-A;PSMB10;SOD2;IFI35;IFI27;DHX58;RIPK1;CASP4;BST2;CD40;TDRD7;IFNAR2;ITGB7;IFI44;CCL5;UBE2L6;ISG20;PSMB9;STAT3;PSMB8;OGFR;EPSTI1;IRF4;CFB;ISOC1;OAS2;RNF213;PSME1;NFKB1;NLRC5
prerank,Interferon Alpha Response,-5.415943e-01,-2.108203e+00,0.000000e+00,0.000000e+00,0.000000e+00,52/95,29.31%,LAMP3;CCRL2;TXNIP;CD74;CSF1;GBP4;IFI30;NCOA7;OASL;IFIT2;IFITM2;SAMD9L;UBA7;GMPR;IFIT3;B2M;SELL;IRF1;BATF2;RSAD2;HLA-C;TMEM140;CMPK2;IL15;IL7;IFI44L;CASP1;TRIM21;SP110;LAP3;TRIM5;HERC6;DDX60;IFITM3;PARP14;IL4R;PROCR;IFI35;IFI27;DHX58;BST2;TDRD7;IFI44;GBP2;UBE2L6;ISG20;ELF1;CD47;PSMB9;PSMB8;OGFR;EPSTI1
prerank,TNF-alpha Signaling via NF-kB,-4.847316e-01,-2.093433e+00,0.000000e+00,0.000000e+00,0.000000e+00,101/198,25.35%,CXCL2;IL6;FOSB;KLF2;NR4A1;NR4A3;DUSP1;PTX3;GADD45B;DRAM1;CXCL3;CCRL2;EDN1;CD69;ZFP36;OLR1;ICAM1;FOS;IL7R;BMP2;KLF9;NR4A2;EGR1;SOCS3;EGR3;RHOB;CD83;KLF6;PPP1R15A;IL6ST;ATF3;PER1;CSF1;AREG;CSF2;CCL2;LIF;MAP3K8;HBEGF;BTG2;SLC16A6;CCL4;NFKBIA;LDLR;IFIT2;TRIB1;MAFF;EGR2;KDM6B;PTGER4;TLR2;ID2;PTPRE;IRF1;SDC4;CD80;EHD1;JUN;G0S2;BIRC3;JUNB;GPR183;IER2;KLF4;CEBPD;TSC22D1;RCAN1;MCL1;IL1B;TIPARP;PTGS2;STAT5A;CFLAR;KLF10;PDE4B;PLEK;MAP2K3;SIK1;BCL2A1;CDKN1A;TNFAIP3;GEM;DNAJB4;ETS2;BCL3;ZC3H12A;PNRC1;DENND5A;IL12B;IL15RA;NFAT5;CLCF1;CCL20;LITAF;CEBPB;SOD2;IL18;PFKFB3;TNIP1;IER5;SLC2A6
prerank,Myc Targets V1,5.836076e-01,1.933391e+00,0.000000e+00,0.000000e+00,0.000000e+00,136/194,32.70%,CDC20;CDC45;CCNA2;MAD2L1;MCM2;RFC4;MCM4;TYMS;KPNA2;NME1;MCM6;PCNA;TFDP1;MCM7;RANBP1;CCT5;RRM1;MCM5;FBL;NOP56;HPRT1;CAD;HSPD1;SNRPD1;HSPE1;XPOT;LDHA;CDK4;CCT4;CCT3;CTPS1;CSTF2;SRPK1;NCBP2;PRPS2;HDAC2;SNRPA1;HDGF;POLD2;PABPC1;EIF3B;ODC1;RAN;ILF2;SNRPG;PSMD14;PSMC4;XPO1;CYC1;CLNS1A;AIMP2;CBX3;PPM1G;PGK1;TRIM28;CDK2;POLE3;UBA2;PA2G4;PRDX4;CCT7;HNRNPA3;TCP1;DEK;YWHAQ;GOT2;UBE2L3;SET;SNRPD2;KPNB1;SNRPD3;C1QBP;ACP1;MRPL9;CCT2;SNRPA;PSMD3;RPLP0;SRM;LSM2;LSM7;EIF2S1;RUVBL2;PHB2;BUB3;VBP1;COX5A;NOP16;PSMD8;ORC2;SERBP1;SSBP1;RAD23B;ABCE1;HSP90AB1;SF3B3;VDAC3;PSMB3;TRA2B;NOLC1;PSMD7;RNPS1;VDAC1;G3BP1;DDX18;SMARCC1;NCBP1;RPS2;APEX1;SYNCRIP;EIF3J;PPIA;PTGES3;PSMA2;XRCC6;PSMB2;EIF2S2;ERH;PWP1;HNRNPC;RSL1D1;DUT;NPM1;EIF1AX;GNL3;PSMD1;HNRNPD;HNRNPR;EIF3D;PSMA1;PSMA4;NHP2;PHB;TXNL4A;SSB;USP1
prerank,Allograft Rejection,-4.431046e-01,-1.929656e+00,0.000000e+00,8.775137e-04,1.007049e-03,95/194,23.39%,CARTPT;CFP;ELANE;PF4;IL6;IL13;IL4;FGR;IL2;ICAM1;LY86;CD40LG;IL18RAP;C2;CRTAM;GPR65;SPI1;ITGAL;HLA-DOA;PRF1;HLA-DMA;HLA-DRA;CTSS;IRF8;KLRD1;HLA-E;NLRP3;CD74;PTPRC;TLR3;HLA-DMB;APBB1;IL16;IGSF6;CCR1;CSF1;SRGN;CCL2;LIF;NCF4;ETS1;CCND3;CCR2;PRKCB;CCL4;HLA-DQA1;IL12RB1;WAS;CD4;NCR1;ITK;CD247;TLR2;B2M;CCL13;LCP2;ITGB2;IL10;CD80;CD86;CD1D;FAS;ST8SIA4;DYRK3;IL1B;JAK2;PTPN6;IL15;TRAT1;IL7;CD3G;ZAP70;STAT4;FASLG;CCR5;IL12A;CD3E;IFNGR1;CD2;IL2RG;LYN;STAB1;TGFB2;BCL3;GZMA;HLA-G;GZMB;CXCR3;CD8A;CD3D;IL12B;ACHE;IL2RB;FCGR2B;IL4R
prerank,IL-6/JAK/STAT3 Signaling,-4.598596e-01,-1.822320e+00,0.000000e+00,7.312614e-04,1.007049e-03,42/87,23.41%,PLA2G2A;A2M;ACVRL1;PF4;IL6;LEPR;IL3RA;CSF3R;CXCL3;CD36;CRLF2;SOCS3;HMOX1;IL6ST;CCR1;CSF1;CSF2;PIK3R5;MAP3K8;IL12RB1;IL18R1;IL1R1;TNFRSF1B;TLR2;IRF1;JUN;CSF2RA;FAS;IL1B;IL7;MYD88;CSF2RB;CD14;ITGA4;IFNGR1;IL2RG;PTPN1;IL17RB;IL15RA;IL9R;IL4R;CD38
prerank,Myc Targets V2,6.090029e-01,1.759081e+00,0.000000e+00,2.919380e-04,2.000000e-03,49/58,34.32%,PLK1;MCM4;PLK4;SORD;MCM5;UNG;EXOSC5;NOP56;HSPD1;HSPE1;CDK4;NOP2;PRMT3;BYSL;TBRG4;TFB2M;IPO4;WDR43;PUS1;PES1;AIMP2;MRTO4;CBX3;DCTPP1;HK2;PA2G4;IMP4;SRM;SLC29A2;TCOF1;WDR74;PPAN;NIP7;NOP16;FARSA;MPHOSPH10;NOLC1;NDUFAF4;DDX18;MYBBP1A;SUPV3L1;NOC4L;NPM1;GNL3;PHB;RABEPK;UTP20;MYC;LAS1L
